Index,OffsetHex,LengthHex,ImgX,ImgY,Category,Sequence
0,0,6400,80,160,background,0
1,6400,2880,72,72,batticon,0
2,8C80,2880,72,72,batticon,1
3,B500,2880,72,72,batticon,2
4,DD80,2880,72,72,batticon,3
5,10600,2880,72,72,batticon,4
6,12E80,2880,72,72,batticon,5
7,15700,2880,72,72,batticon,6
8,17F80,2880,72,72,batticon,7
9,1A800,2880,72,72,batticon,8
10,1D080,2880,72,72,batticon,9
11,1F900,2880,72,72,batticon,10
12,22180,2880,72,72,juiceicon,0
13,24A00,2880,72,72,juiceicon,1
14,27280,2880,72,72,juiceicon,2
15,29B00,2880,72,72,juiceicon,3
16,2C380,2880,72,72,juiceicon,4
17,2EC00,2880,72,72,juiceicon,5
18,31480,2880,72,72,juiceicon,6
19,33D00,6400,80,160,vapeanim,0
20,3A100,6400,80,160,vapeanim,1
21,40500,6400,80,160,vapeanim,2
22,46900,6400,80,160,vapeanim,3
23,4CD00,6400,80,160,vapeanim,4
24,53100,6400,80,160,vapeanim,5
25,59500,6400,80,160,vapeanim,6
26,5F900,6400,80,160,vapeanim,7
27,65D00,6400,80,160,vapeanim,8
28,6C100,6400,80,160,vapeanim,9
29,72500,6400,80,160,vapeanim,10
30,78900,6400,80,160,vapeanim,11
31,7ED00,6400,80,160,vapeanim,12
32,85100,6400,80,160,vapeanim,13
33,8B500,6400,80,160,vapeanim,14
34,91900,6400,80,160,vapeanim,15
35,97D00,6400,80,160,chg1_background,16
36,9E100,17CA,35,87,chg1_logoanim,0
37,9F8CA,17CA,35,87,chg1_logoanim,1
38,A1094,17CA,35,87,chg1_logoanim,2
39,A285E,17CA,35,87,chg1_logoanim,3
40,A4028,17CA,35,87,chg1_logoanim,4
41,A57F2,17CA,35,87,chg1_logoanim,5
42,A6FBC,17CA,35,87,chg1_logoanim,6
43,A8786,17CA,35,87,chg1_logoanim,7
44,A9F50,17CA,35,87,chg1_logoanim,8
45,AB71A,17CA,35,87,chg1_logoanim,9
46,ACEE4,17CA,35,87,chg1_logoanim,10
47,AE6AE,17CA,35,87,chg1_logoanim,11
48,AFE78,17CA,35,87,chg1_logoanim,12
49,B1642,17CA,35,87,chg1_logoanim,13
50,B2E0C,17CA,35,87,chg1_logoanim,14
51,B45D6,17CA,35,87,chg1_logoanim,15
52,B5DA0,17CA,35,87,chg1_logoanim,16
53,B756A,17CA,35,87,chg1_logoanim,17
54,B8D34,17CA,35,87,chg1_logoanim,18
55,BA4FE,17CA,35,87,chg1_logoanim,19
56,BBCC8,17CA,35,87,chg1_logoanim,20
57,BD492,17CA,35,87,chg1_logoanim,21
58,BEC5C,17CA,35,87,chg1_logoanim,22
59,C0426,17CA,35,87,chg1_logoanim,23
60,C1BF0,17CA,35,87,chg1_logoanim,24
61,C33BA,17CA,35,87,chg1_logoanim,25
62,C4B84,17CA,35,87,chg1_logoanim,26
63,C634E,17CA,35,87,chg1_logoanim,27
64,C7B18,17CA,35,87,chg1_logoanim,28
65,C92E2,6400,80,160,chg2_background,0
66,CF6E2,F80,31,64,chg2_battanim,0
67,D0662,F80,31,64,chg2_battanim,1
68,D15E2,F80,31,64,chg2_battanim,2
69,D2562,F80,31,64,chg2_battanim,3
70,D34E2,F80,31,64,chg2_battanim,4
71,D4462,F80,31,64,chg2_battanim,5
72,D53E2,6400,80,160,chg3_background,0
73,DB7E2,E9A,21,89,chg3_logoanim,0
74,DC67C,E9A,21,89,chg3_logoanim,1
75,DD516,E9A,21,89,chg3_logoanim,2
76,DE3B0,E9A,21,89,chg3_logoanim,3
77,DF24A,E9A,21,89,chg3_logoanim,4
78,E00E4,E9A,21,89,chg3_logoanim,5
79,E0F7E,E9A,21,89,chg3_logoanim,6
80,E1E18,E9A,21,89,chg3_logoanim,7
81,E2CB2,E9A,21,89,chg3_logoanim,8
82,E3B4C,E9A,21,89,chg3_logoanim,9
83,E49E6,E9A,21,89,chg3_logoanim,10
84,E5880,E9A,21,89,chg3_logoanim,11
85,E671A,E9A,21,89,chg3_logoanim,12
86,E75B4,E9A,21,89,chg3_logoanim,13
87,E844E,E9A,21,89,chg3_logoanim,14
88,E92E8,E9A,21,89,chg3_logoanim,15
89,EA182,E9A,21,89,chg3_logoanim,16
90,EB01C,E9A,21,89,chg3_logoanim,17
91,EBEB6,E9A,21,89,chg3_logoanim,18
92,ECD50,E9A,21,89,chg3_logoanim,19
93,EDBEA,E9A,21,89,chg3_logoanim,20
94,EEA84,E9A,21,89,chg3_logoanim,21
95,EF91E,E9A,21,89,chg3_logoanim,22
96,F07B8,E9A,21,89,chg3_logoanim,23
97,F1652,E9A,21,89,chg3_logoanim,24
98,F24EC,E9A,21,89,chg3_logoanim,25
99,F3386,E9A,21,89,chg3_logoanim,26
100,F4220,E9A,21,89,chg3_logoanim,27
101,F50BA,E9A,21,89,chg3_logoanim,28
102,F5F54,E9A,21,89,chg3_logoanim,29
103,F6DEE,E9A,21,89,chg3_logoanim,30
104,F8000,4,0,0,vapecounter,0
105,F8004,1,0,0,vapeflag,0
